Date,Open,High,Low,Close,Adj Close,Volume
2019-10-09,793.500000,796.000000,779.000000,784.000000,755.890930,132315
2019-10-10,783.500000,794.500000,777.099976,782.900024,754.830383,166108
2019-10-11,785.950012,823.349976,777.000000,815.700012,786.454407,532657
2019-10-14,789.000000,796.900024,781.000000,785.650024,757.481750,454942
2019-10-15,773.799988,774.750000,765.000000,767.799988,740.271729,342205
2019-10-16,768.000000,776.000000,762.000000,771.450012,743.790894,322436
2019-10-17,768.900024,770.549988,765.200012,769.099976,741.525085,180800
2019-10-18,766.650024,773.599976,760.099976,767.750000,740.223511,279245
2019-10-22,691.000000,691.000000,638.299988,643.299988,626.766479,11771789
2019-10-23,637.299988,656.400024,615.000000,650.750000,642.008911,5055545
2019-10-24,650.700012,653.099976,632.049988,635.400024,626.865112,1726291
2019-10-25,644.299988,652.500000,636.000000,637.549988,628.986206,834375
2019-10-27,null,null,null,null,null,null
2019-10-29,654.000000,654.000000,647.000000,650.599976,641.860901,1048701
2019-10-30,659.000000,671.000000,656.250000,660.450012,651.578613,914388
2019-10-31,669.000000,695.250000,666.450012,685.500000,676.292114,1215604
2019-11-01,689.900024,694.000000,682.750000,688.000000,678.758545,600344
2019-11-04,684.400024,732.500000,678.299988,709.000000,699.476501,1849592
2019-11-05,709.000000,709.000000,691.750000,695.799988,686.453796,852025
2019-11-06,697.599976,721.500000,691.700012,712.299988,702.732117,914354
2019-11-07,716.000000,724.000000,712.400024,719.950012,710.279419,511202
2019-11-08,722.500000,724.450012,705.599976,708.450012,698.933899,531345
2019-11-11,707.000000,707.099976,698.099976,704.500000,695.036926,289378
2019-11-13,695.500000,699.950012,688.000000,691.250000,681.964905,627414
2019-11-14,695.000000,709.750000,695.000000,705.349976,695.875488,603556
2019-11-15,707.299988,712.650024,702.150024,703.950012,694.494324,346966
2019-11-18,704.500000,709.900024,699.750000,705.549988,696.072815,237120
2019-11-19,710.900024,714.400024,706.000000,712.799988,703.225403,378657
2019-11-20,712.650024,715.000000,706.200012,712.799988,703.225403,294235
2019-11-21,714.049988,721.400024,710.799988,713.750000,704.162659,320743
2019-11-22,713.000000,713.000000,685.099976,693.150024,683.839417,711451
2019-11-25,694.400024,705.000000,694.000000,698.000000,688.624268,233214
2019-11-26,701.200012,707.200012,686.000000,690.700012,681.422302,213471
2019-11-27,695.700012,697.599976,690.200012,696.049988,686.700439,147999
2019-11-28,698.500000,703.000000,694.400024,701.650024,692.225220,239978
2019-11-29,703.000000,703.200012,691.799988,695.950012,686.601807,166618
2019-12-02,702.349976,704.349976,690.349976,692.900024,683.592773,1921228
2019-12-03,695.799988,699.400024,689.000000,698.349976,688.969482,384709
2019-12-04,695.000000,710.400024,694.349976,708.200012,698.687256,377545
2019-12-05,707.099976,716.099976,704.299988,714.650024,705.050598,860862
2019-12-06,717.900024,720.000000,709.650024,715.150024,705.543884,294722
2019-12-09,716.799988,722.200012,715.099976,716.900024,707.270386,448298
2019-12-10,715.549988,718.650024,710.200012,714.250000,704.655945,260536
2019-12-11,715.500000,722.750000,713.400024,720.799988,711.117981,227873
2019-12-12,720.799988,720.799988,695.000000,701.849976,692.422485,1731787
2019-12-13,706.900024,712.700012,700.099976,711.250000,701.696289,694603
2019-12-16,711.250000,720.000000,710.349976,714.000000,704.409302,253695
2019-12-17,717.549988,731.500000,715.299988,729.299988,719.503784,509857
2019-12-18,729.500000,737.250000,723.099976,732.500000,722.660828,352727
2019-12-19,732.000000,736.000000,724.799988,731.200012,721.378296,370840
2019-12-20,732.099976,735.000000,728.349976,732.000000,722.167542,187057
2019-12-23,732.000000,737.250000,731.400024,735.849976,725.965820,105902
2019-12-24,736.150024,736.799988,728.500000,733.250000,723.400757,92997
2019-12-26,734.000000,734.700012,727.000000,729.250000,719.454468,139762
2019-12-27,729.250000,737.650024,728.750000,736.799988,726.903076,105409
2019-12-30,736.000000,737.700012,727.450012,732.799988,722.956787,669807
2019-12-31,732.099976,737.500000,725.500000,731.750000,721.920898,254993
2020-01-01,733.599976,739.900024,732.650024,736.900024,727.001770,86151
2020-01-02,738.049988,740.200012,731.349976,734.700012,724.831299,131129
2020-01-03,734.500000,747.750000,734.250000,746.099976,736.078125,288087
2020-01-06,745.099976,753.950012,736.700012,738.650024,728.728210,191481
2020-01-07,739.049988,742.349976,725.150024,727.750000,717.974609,211980
2020-01-08,725.000000,728.700012,708.400024,718.150024,708.503601,280761
2020-01-09,722.900024,731.250000,714.500000,727.549988,717.777283,321670
2020-01-10,732.000000,742.799988,730.799988,738.250000,728.333557,359749
2020-01-13,763.000000,777.549988,755.549988,773.400024,763.011475,968764
2020-01-14,770.599976,776.799988,767.299988,775.349976,764.935242,239821
2020-01-15,775.000000,775.000000,762.799988,767.700012,757.388000,185699
2020-01-16,772.000000,772.200012,760.400024,766.849976,756.549377,153766
2020-01-17,771.000000,772.000000,762.700012,767.849976,757.535950,88333
2020-01-20,770.000000,774.450012,763.349976,768.349976,758.029236,105542
2020-01-21,768.349976,770.700012,760.549988,761.900024,751.665955,61778
2020-01-22,765.099976,778.000000,765.099976,769.950012,759.607788,276071
2020-01-23,774.000000,785.200012,774.000000,784.549988,774.011658,266667
2020-01-24,776.000000,786.200012,773.799988,782.950012,772.433167,713930
2020-01-27,779.700012,784.500000,774.799988,777.900024,767.451050,111853
2020-01-28,779.799988,780.799988,772.099976,777.900024,767.451050,543368
2020-01-29,783.000000,792.549988,783.000000,789.450012,778.845886,434306
2020-01-30,792.000000,792.000000,778.049988,780.200012,769.720093,80734
2020-01-31,781.750000,784.250000,771.750000,776.349976,765.921814,70808
2020-02-03,780.549988,790.000000,764.500000,767.200012,756.894714,119026
2020-02-04,769.500000,789.349976,769.500000,787.849976,777.267334,105746
2020-02-05,787.000000,787.000000,774.250000,784.500000,773.962341,350877
2020-02-06,784.500000,786.549988,770.000000,770.950012,760.594360,936087
2020-02-07,772.000000,778.849976,771.049988,777.200012,766.760437,99982
2020-02-10,776.000000,778.049988,769.799988,773.250000,762.863464,75767
2020-02-11,776.200012,779.250000,769.750000,773.799988,763.406067,99312
2020-02-12,775.000000,783.000000,775.000000,781.049988,770.558655,92870
2020-02-13,787.000000,794.299988,782.400024,792.349976,781.706848,132909
2020-02-14,794.900024,799.000000,785.000000,786.200012,775.639526,418263
2020-02-17,787.000000,793.400024,783.400024,789.400024,778.796570,90639
2020-02-18,787.000000,798.900024,783.299988,797.450012,786.738403,107455
2020-02-19,800.000000,804.700012,796.000000,800.700012,789.944763,100572
2020-02-20,800.450012,805.900024,794.049988,796.700012,785.998474,432363
2020-02-24,798.000000,811.200012,792.299988,795.250000,784.567932,311918
2020-02-25,800.000000,805.500000,795.400024,798.349976,787.626282,382740
2020-02-26,798.000000,801.500000,780.799988,782.700012,772.186523,210802
2020-02-27,780.000000,780.549988,772.400024,777.599976,767.155029,137900
2020-02-28,755.000000,756.000000,723.299988,731.349976,721.526245,719556
2020-03-02,733.000000,765.849976,733.000000,744.349976,734.351624,521793
2020-03-03,755.799988,758.150024,741.650024,746.299988,736.275452,525353
2020-03-04,754.700012,761.299988,745.599976,758.599976,748.410217,623340
2020-03-05,762.000000,773.349976,752.000000,754.650024,744.513306,370877
2020-03-06,744.000000,744.000000,729.450012,739.250000,729.320129,2788077
2020-03-09,739.250000,739.250000,739.250000,739.250000,729.320129,0
2020-03-11,693.000000,696.250000,669.599976,685.150024,675.946838,498427
2020-03-12,670.000000,670.000000,627.700012,631.549988,623.066833,1236804
2020-03-13,586.000000,667.599976,568.799988,642.200012,633.573792,932945
2020-03-16,640.000000,640.000000,580.000000,582.849976,575.020935,927681
2020-03-17,585.200012,592.049988,550.099976,555.599976,548.136963,967841
2020-03-18,565.200012,578.000000,528.150024,535.049988,527.863037,673598
2020-03-19,530.000000,557.700012,511.100006,545.400024,538.074036,2113081
2020-03-20,554.000000,617.000000,549.650024,584.950012,577.092773,1824428
2020-03-23,548.000000,560.000000,514.799988,526.700012,519.625183,724224
2020-03-24,535.000000,605.700012,525.549988,593.549988,585.577209,629411
2020-03-25,593.000000,634.799988,566.000000,605.950012,597.810669,553061
2020-03-26,615.950012,650.500000,614.000000,646.299988,637.618652,497057
2020-03-27,655.000000,675.000000,642.799988,653.549988,644.771301,745637
2020-03-30,634.000000,664.000000,621.950012,627.200012,618.775269,1128539
2020-03-31,645.500000,661.950012,634.750000,640.299988,631.699280,1706196
2020-04-01,640.000000,640.000000,594.250000,604.099976,595.985535,825328
2020-04-03,604.099976,606.650024,582.349976,585.450012,577.586060,327035
2020-04-07,611.900024,643.950012,611.900024,641.099976,632.488525,418888
2020-04-08,628.200012,655.200012,626.750000,631.700012,623.214783,588592
2020-04-09,648.900024,652.750000,632.700012,637.599976,629.035522,547723
2020-04-13,630.000000,651.599976,627.000000,637.099976,628.542236,274101
2020-04-15,645.000000,652.799988,635.700012,639.150024,630.564758,794120
2020-04-16,622.849976,634.299988,604.000000,624.200012,615.815552,402658
2020-04-17,640.000000,646.000000,626.049988,629.299988,620.847046,221622
2020-04-20,640.000000,660.700012,639.299988,652.900024,644.130066,455876
2020-04-21,632.000000,646.500000,627.700012,633.049988,624.546631,265764
2020-04-22,633.200012,645.299988,628.099976,642.049988,633.425781,166193
2020-04-23,649.000000,683.000000,638.500000,678.450012,669.336853,1541355
2020-04-24,674.400024,674.900024,655.650024,658.299988,649.457520,263300
2020-04-27,660.000000,680.849976,660.000000,664.250000,655.327576,134910
2020-04-28,673.000000,676.650024,653.650024,661.049988,652.170532,201758
2020-04-29,667.799988,681.700012,658.099976,677.700012,668.596924,199318
2020-04-30,696.000000,719.799988,696.000000,716.200012,706.579773,430782
2020-05-04,694.549988,700.950012,670.450012,673.750000,664.699951,202813
2020-05-05,681.150024,685.500000,670.099976,674.250000,665.193237,120580
2020-05-06,679.700012,681.299988,664.250000,666.200012,657.251404,162251
2020-05-07,666.099976,674.099976,663.049988,665.049988,656.116821,93599
2020-05-08,672.900024,680.950012,668.599976,674.650024,665.587891,158605
2020-05-11,680.000000,698.400024,677.700012,682.750000,673.579102,147260
2020-05-12,678.000000,691.000000,675.500000,687.750000,678.511902,156715
2020-05-13,700.000000,700.000000,684.599976,693.900024,684.579346,192736
2020-05-14,664.000000,671.650024,654.049988,658.099976,649.260193,472186
2020-05-15,665.500000,665.500000,647.000000,652.299988,643.538086,310061
2020-05-18,664.000000,670.450012,653.900024,663.599976,654.686279,251322
2020-05-19,665.900024,674.700012,655.900024,668.950012,659.964478,254650
2020-05-20,666.549988,673.200012,659.799988,670.200012,661.197693,230449
2020-05-21,668.400024,679.700012,665.299988,672.000000,662.973450,217317
2020-05-22,672.150024,695.250000,672.150024,692.250000,682.951477,300974
2020-05-26,695.000000,699.599976,678.950012,680.150024,671.014038,208176
